t,x,y,v_y,v_x,a_x,a_y
0.000,-2.660E-2,0.479,,,,
0.008,-1.627E-2,0.478,-8.545E-2,1.207,,
0.017,-6.480E-3,0.477,-0.128,1.250,0.353,-3.981
0.025,4.560E-3,0.476,-0.161,1.250,-5.446,-0.297
0.033,1.435E-2,0.475,-0.131,1.133,-4.013,0.988
0.042,2.344E-2,0.474,-0.133,1.170,8.013,-3.509
0.050,3.386E-2,0.473,-0.197,1.290,6.923,-5.804
0.058,4.494E-2,0.471,-0.235,1.291,-3.892,-0.663
0.067,5.538E-2,0.469,-0.209,1.214,1.476,-1.270
0.075,6.517E-2,0.467,-0.239,1.293,9.302,-11.95
0.083,7.693E-2,0.465,-0.413,1.409,2.324,-4.073
0.092,8.865E-2,0.460,-0.355,1.326,-2.712,8.787
0.100,9.902E-2,0.459,-0.199,1.329,0.623,12.76
0.108,0.111,0.457,-0.177,1.377,-1.373,-1.205
0.117,0.122,0.456,-0.198,1.291,-4.588,-0.435
0.125,0.132,0.454,-0.213,1.285,6.453,-0.544
0.133,0.143,0.452,-0.184,1.407,5.453,1.555
0.142,0.156,0.451,-0.197,1.404,2.404,-3.098
0.150,0.167,0.449,-0.228,1.401,3.324,-2.305
0.158,0.179,0.447,-0.247,1.491,8.447,-1.674
0.167,0.192,0.445,-0.246,1.530,-1.197,1.434
0.175,0.205,0.443,-0.232,1.487,-8.135,-2.291
0.183,0.216,0.441,-0.266,1.377,-9.032,1.363
0.192,0.228,0.438,-0.242,1.335,-0.184,0.589
0.200,0.239,0.437,-0.216,1.374,3.606,-2.168
0.208,0.250,0.435,-0.303,1.407,-0.369,-4.613
0.217,0.262,0.432,-0.298,1.366,-6.632,-0.166
0.225,0.273,0.430,-0.288,1.293,-5.853,-8.524E-2
0.233,0.284,0.427,-0.311,1.262,-2.137,-4.294
0.242,0.294,0.424,-0.350,1.265,-2.625,-4.979
0.250,0.305,0.421,-0.404,1.222,-3.920,-2.947
0.258,0.315,0.418,-0.400,1.188,-2.377,-2.612
0.267,0.325,0.415,-0.433,1.190,-10.69,1.277
0.275,0.334,0.411,-0.407,1.030,-8.069,-3.639
0.283,0.342,0.408,-0.448,0.994,4.475,-9.068
0.292,0.351,0.403,-0.598,1.155,1.486,-7.148
0.300,0.361,0.398,-0.568,1.036,-7.384,0.239
0.308,0.368,0.394,-0.563,0.967,-7.500,7.697E-2
0.317,0.377,0.388,-0.596,0.973,-2.914,-1.890
0.325,0.384,0.384,-0.578,0.882,1.803,-3.130
0.333,0.392,0.379,-0.645,0.997,-1.125,3.200
0.342,0.401,0.373,-0.561,0.925,-4.233,9.985
0.350,0.407,0.369,-0.428,0.839,0.555,11.11
0.358,0.415,0.366,-0.404,0.986,3.535,8.655
0.367,0.424,0.363,-0.285,0.911,-12.00,14.30
0.375,0.430,0.361,-0.153,0.753,-9.441,7.606
0.383,0.436,0.360,-0.151,0.752,-2.149,-1.921
0.392,0.443,0.359,-0.203,0.743,-1.984,-3.243
0.400,0.449,0.357,-0.202,0.698,-3.226,-2.387
0.408,0.454,0.355,-0.233,0.699,-2.190,-4.036
0.417,0.460,0.353,-0.281,0.663,-7.448,-3.035
0.425,0.465,0.350,-0.281,0.575,-9.630,0.228
0.433,0.470,0.348,-0.274,0.494,-3.584,-2.826
0.442,0.474,0.346,-0.322,0.511,-9.332E-2,-1.916
0.450,0.478,0.343,-0.326,0.513,-3.692,1.065
0.458,0.482,0.340,-0.285,0.438,-5.060,4.196
0.467,0.486,0.338,-0.266,0.421,-5.143,3.135
0.475,0.489,0.336,-0.228,0.373,-5.011,1.392
0.483,0.492,0.334,-0.238,0.314,-4.142,1.558
0.492,0.495,0.332,-0.219,0.317,-2.098,3.030
0.500,0.497,0.331,-0.171,0.280,-4.379,6.740
0.508,0.499,0.329,-0.119,0.238,-4.954,6.016
0.517,0.501,0.329,-5.878E-2,0.202,-2.524,5.819
0.525,0.503,0.328,-2.848E-2,0.189,-1.564,3.776
0.533,0.504,0.328,5.696E-3,0.184,-1.002,5.446
0.542,0.506,0.328,5.862E-2,0.167,-1.986,7.043
0.550,0.507,0.329,0.127,0.154,0.852,5.445
0.558,0.508,0.330,0.154,0.174,0.791,8.165
0.567,0.510,0.332,0.244,0.181,1.285,6.332
0.575,0.511,0.335,0.293,0.181,1.564,5.668
0.583,0.513,0.337,0.304,0.215,4.906,4.880
0.592,0.515,0.340,0.393,0.258,4.247,8.529
0.600,0.517,0.343,0.445,0.293,3.972,3.696
0.608,0.520,0.347,0.456,0.318,5.650,3.265
0.617,0.523,0.351,0.488,0.386,6.497,7.746
0.625,0.526,0.355,0.589,0.436,3.856,1.720
0.633,0.530,0.361,0.544,0.444,2.843,-2.650
0.642,0.534,0.364,0.497,0.480,8.161,5.072
0.650,0.538,0.369,0.648,0.578,9.936,9.775
0.658,0.543,0.375,0.685,0.659,5.474,-0.833
0.667,0.549,0.380,0.609,0.665,2.763,-3.720
0.675,0.554,0.385,0.619,0.695,4.020,-5.899E-2
0.683,0.560,0.391,0.625,0.742,3.584,-0.717
0.692,0.567,0.396,0.595,0.752,7.687,-6.863E-2
0.700,0.573,0.400,0.623,0.855,5.838,1.457
0.708,0.581,0.406,0.631,0.888,5.212,-1.089
0.717,0.588,0.411,0.596,0.897,1.081,-6.572
0.725,0.596,0.416,0.529,0.942,9.459,-3.301
0.733,0.603,0.420,0.521,1.019,9.008,0.149
0.742,0.613,0.425,0.554,1.127,2.875,-8.742
0.750,0.622,0.429,0.387,1.062,1.325,-13.15
0.758,0.630,0.431,0.285,1.114,7.052,-5.480
0.767,0.641,0.434,0.333,1.224,7.767,-0.320
0.775,0.651,0.437,0.278,1.223,2.624,-3.118
0.783,0.661,0.438,0.262,1.266,7.025,-1.975
0.792,0.672,0.441,0.267,1.343,9.511,-3.313
0.800,0.684,0.443,0.199,1.425,4.190,-3.576
0.808,0.696,0.444,0.196,1.424,-1.409,-1.670
0.817,0.707,0.446,0.192,1.384,-8.858E-2,-1.622
0.825,0.719,0.447,0.153,1.423,-0.821,-5.128
0.833,0.731,0.449,0.117,1.391,5.459,-1.132
0.842,0.742,0.449,0.119,1.468,2.780,-1.256
0.850,0.755,0.451,0.117,1.505,1.233,-1.254
0.858,0.767,0.451,8.090E-2,1.431,1.722,-4.707
0.867,0.779,0.452,4.991E-2,1.548,7.045,6.471
0.875,0.793,0.452,0.159,1.575,-4.641,9.829
0.883,0.806,0.455,0.264,1.453,-5.672,6.652
0.892,0.817,0.457,0.237,1.459,9.329,-17.38
0.900,0.830,0.459,1.552E-2,1.625,11.77,-20.62
0.908,0.844,0.457,-0.179,1.677,-14.15,-2.366
0.917,0.858,0.456,-5.112E-4,1.398,-8.476,10.19
0.925,0.867,0.457,4.039E-2,1.435,1.834,-6.526
0.933,0.882,0.456,-0.146,1.562,5.955,-15.65
0.942,0.893,0.454,-0.231,1.448,,
0.950,0.906,0.452,,,,
